image filename;Area;Mean red;StdDev red;Mode red;Min red;Max min;Perim.;Circ.;Feret;IntDen;Median red;Skew red;Kurt red;RawIntDen red;MinFeret;AR;Solidity;Mean blue;Mean green;StDev blue;StdDev green;Mode blue;Mode green;Min blue;Min green;Max blue;Max green;Median blue;Median green;Skew blue;Skew green;Kurt blue;Kurt green;Class
95-5-10-1_231_1.jpg ;36063;101.964;49.394;37;20;187;774.767;0.755;260.967;3677112;100;-0.021;-1.671;3677112;202.138;1.22;0.95;118.762;63.093;23.131;49.976;92;7;74;0;183;162;119;53;0.013;0.155;-1.254;-1.707;Neutrophil
95-9-4-4_121_1.jpg ;6432;97.806;41.106;53;39;190;329.765;0.743;121.672;629088;86;0.493;-1.046;629088;71.523;1.73;0.941;107.293;41.071;19.524;35.284;95;10;79;2;161;127;100;23;0.699;0.775;-0.741;-0.863;Neutrophil
95-5-4-1_182_1.jpg ;32524;156.996;23.149;157;100;251;717.696;0.793;252.242;5106153;154;0.777;0.429;5106153;166.012;1.497;0.983;141.56;67.101;10.27;33.756;138;53;117;24;186;193;139;55;0.919;1.54;0.531;1.382;Lymphocyte
95-8-13-3_60_2.jpg ;25293;124.22;47.617;81;54;217;609.955;0.854;213.328;3141902;105;0.302;-1.561;3141902;157.613;1.309;0.985;127.417;58.985;25.461;53.243;99;11;85;0;180;171;124;29;0.148;0.512;-1.438;-1.424;Lymphocyte
95-5-10-1_645_2.jpg ;44853;167.199;58.149;219;52;239;815.151;0.848;257.329;7499390;200;-0.564;-1.411;7499390;220.627;1.145;0.983;141.325;93.297;26.92;60.065;164;10;84;1;202;181;151;123;-0.389;-0.403;-1.333;-1.592;Neutrophil
95-8-12-4_135_1.jpg ;40625;143.75;53.647;70;58;227;766.181;0.87;241.118;5839854;170;-0.269;-1.66;5839854;219.966;1.101;0.988;127.226;81.229;24.525;58.031;98;10;69;0;182;181;132;105;-0.134;-0.129;-1.451;-1.701;Neutrophil
95-8-12-2_11_1.jpg ;19745;113.526;35.399;80;68;227;531.63;0.878;166.904;2241566;100;1.076;-0.047;2241566;152.398;1.078;0.988;122.783;41.999;24.342;46.66;99;10;79;0;194;178;113;17;0.797;1.322;-0.618;0.213;Lymphocyte
95-5-10-1_286_1.jpg ;56064;118.06;49.622;149;17;185;899.477;0.871;285.801;6618934;143;-0.763;-1.061;6618934;254.571;1.118;0.987;129.524;88.933;21.713;48.076;144;13;76;4;175;171;135;108;-0.433;-0.554;-0.9;-1.183;Neutrophil
95-8-12-4_227_1.jpg ;22560;115.616;25.557;105;73;212;567.571;0.88;176.185;2608295;107;1.84;2.466;2608295;163.68;1.049;0.988;116.182;34.88;19.323;36.749;105;15;75;0;183;168;110;19;1.277;1.972;0.931;2.711;Lymphocyte
95-8-8-1_311_1.jpg ;40095;128.48;25.667;138;82;228;751.11;0.893;235.765;5151415;131;0.47;0.055;5151415;223.0;1.039;0.991;117.617;55.306;15.271;32.537;106;19;74;7;192;169;115;64;0.95;0.439;0.975;-0.305;Eosinophil
